File Name,Original Size (bytes),Compressed Size (bytes)
dailymail_2094.txt,6431,2795
dailymail_2096.txt,8430,3641
dailymail_2098.txt,4178,1415
dailymail_210.txt,3160,1468
dailymail_2100.txt,7014,3093
dailymail_2102.txt,10371,4080
dailymail_2104.txt,10371,4080
dailymail_2106.txt,5343,2080
dailymail_2108.txt,6000,2277
dailymail_2110.txt,4405,2163
dailymail_2112.txt,4554,1993
dailymail_2114.txt,7877,3943
dailymail_2116.txt,11671,5117
dailymail_2118.txt,9452,4108
dailymail_212.txt,28776,10343
dailymail_2120.txt,6114,2890
dailymail_2122.txt,6114,2890
dailymail_2124.txt,7739,3729
dailymail_2126.txt,10284,4784
dailymail_2128.txt,6946,3279
dailymail_2130.txt,6404,2786
dailymail_2132.txt,9897,4672
dailymail_2134.txt,10078,4463
dailymail_2136.txt,8614,3591
dailymail_2138.txt,5047,2230
dailymail_214.txt,5556,2556
dailymail_2140.txt,6070,2356
dailymail_2142.txt,8413,4047
dailymail_2144.txt,6149,2362
dailymail_2146.txt,3704,1902
dailymail_2148.txt,4499,2133
dailymail_2150.txt,4499,2133
dailymail_2152.txt,4376,1881
dailymail_2154.txt,6837,3387
dailymail_2156.txt,5477,2862
dailymail_2158.txt,5558,1951
dailymail_216.txt,3496,1618
dailymail_2160.txt,9857,3705
dailymail_2162.txt,4237,1719
dailymail_2164.txt,1968,773
dailymail_2166.txt,5026,2300
dailymail_2168.txt,7858,3259
dailymail_2170.txt,6446,2845
dailymail_2172.txt,6446,2845
dailymail_2174.txt,4276,1749
dailymail_2176.txt,7149,3235
dailymail_2178.txt,2370,1015
dailymail_218.txt,3535,1590
dailymail_2180.txt,10910,4679
dailymail_2182.txt,10910,4679
dailymail_2184.txt,9851,4123
dailymail_2186.txt,3936,1955
dailymail_2188.txt,2676,1266
dailymail_2190.txt,5654,2499
dailymail_2192.txt,6984,2773
dailymail_2194.txt,5639,2602
dailymail_2196.txt,3759,1439
dailymail_2198.txt,6037,2501
dailymail_22.txt,4912,2404
dailymail_220.txt,3138,1649
dailymail_2200.txt,6881,2917
dailymail_2202.txt,7182,2967
dailymail_2204.txt,4595,1860
dailymail_2206.txt,6621,2604
dailymail_2208.txt,11012,5098
dailymail_2210.txt,4209,1831
dailymail_2212.txt,4209,1831
dailymail_2214.txt,4871,2216
dailymail_2216.txt,9947,3839
dailymail_2218.txt,7871,3979
dailymail_222.txt,8638,3723
dailymail_2220.txt,3876,1850
dailymail_2222.txt,8665,3838
dailymail_2224.txt,4494,2245
dailymail_2226.txt,9998,3753
dailymail_2228.txt,8283,3058
dailymail_2230.txt,3851,1782
dailymail_2232.txt,7812,3642
dailymail_2234.txt,8814,3777
dailymail_2236.txt,8814,3777
dailymail_2238.txt,9197,3979
dailymail_224.txt,3659,1625
dailymail_2240.txt,5442,2390
dailymail_2242.txt,13611,5472
dailymail_2244.txt,13611,5472
dailymail_2246.txt,6012,2344
dailymail_2248.txt,3202,1446
dailymail_2250.txt,5188,2230
dailymail_2252.txt,3902,1862
dailymail_2254.txt,6141,2414
dailymail_2256.txt,6141,2414
dailymail_2258.txt,8151,3185
dailymail_226.txt,4261,2012
dailymail_2260.txt,3814,1774
dailymail_2262.txt,5218,2494
dailymail_2264.txt,8203,3157
dailymail_2266.txt,4315,1999
dailymail_2268.txt,4782,1872
dailymail_2270.txt,6977,2844
dailymail_2272.txt,3843,1730
dailymail_2274.txt,17780,7753
dailymail_2276.txt,5671,2433
dailymail_2278.txt,4378,1580
dailymail_228.txt,3113,1540
dailymail_2280.txt,3312,1355
dailymail_2282.txt,5890,2498
dailymail_2284.txt,7496,3331
dailymail_2286.txt,7496,3331
dailymail_2288.txt,2496,1246
dailymail_2290.txt,3566,1762
dailymail_2292.txt,3045,1518
dailymail_2294.txt,6824,3209
dailymail_2296.txt,8084,3224
dailymail_2298.txt,8084,3224
dailymail_230.txt,1449,796
dailymail_2300.txt,6589,2670
dailymail_2302.txt,3438,1740
dailymail_2304.txt,2284,987
dailymail_2306.txt,3954,1852
dailymail_2308.txt,5829,2773
dailymail_2310.txt,6772,3408
dailymail_2312.txt,4414,2210
dailymail_2314.txt,5772,2610
dailymail_2316.txt,4214,1753
dailymail_2318.txt,5097,2369
dailymail_232.txt,3316,1670
dailymail_2320.txt,4924,2135
dailymail_2322.txt,4392,2246
dailymail_2324.txt,5089,2055
dailymail_2326.txt,4876,2042
dailymail_2328.txt,4876,2042
dailymail_2330.txt,5962,2726
dailymail_2332.txt,3657,1776
dailymail_2334.txt,11079,4736
dailymail_2336.txt,2809,1346
dailymail_2338.txt,3185,1497
dailymail_234.txt,6218,3073
dailymail_2340.txt,3739,1688
dailymail_2342.txt,2527,1100
dailymail_2344.txt,7499,3329
dailymail_2346.txt,3760,1743
dailymail_2348.txt,4350,1741
dailymail_2350.txt,6070,2785
dailymail_2352.txt,6595,2848
dailymail_2354.txt,8416,3151
dailymail_2356.txt,7276,3395
dailymail_2358.txt,4234,2147
dailymail_236.txt,2777,1396
dailymail_2360.txt,4216,1966
dailymail_2362.txt,5564,2453
dailymail_2364.txt,5564,2453
dailymail_2366.txt,6081,2996
dailymail_2368.txt,11051,3937
dailymail_2370.txt,5722,2713
dailymail_2372.txt,5722,2713
dailymail_2374.txt,6601,2883
dailymail_2376.txt,5205,2215
dailymail_2378.txt,6426,3178
dailymail_238.txt,3071,1516
dailymail_2380.txt,3181,1379
dailymail_2382.txt,6362,3403
dailymail_2384.txt,4931,1963
dailymail_2386.txt,8093,2770
dailymail_2388.txt,4450,1996
dailymail_2390.txt,3342,1489
dailymail_2392.txt,3342,1489
dailymail_2394.txt,7042,2689
dailymail_2396.txt,8949,3709
dailymail_2398.txt,9181,4600
dailymail_24.txt,7490,3357
dailymail_240.txt,2268,1087
dailymail_2400.txt,6583,2446
dailymail_2402.txt,4949,2287
dailymail_2404.txt,4812,1688
dailymail_2406.txt,13377,5800
dailymail_2408.txt,3153,1456
dailymail_2410.txt,3829,1452
dailymail_2412.txt,3073,1324
dailymail_2414.txt,10504,4305
dailymail_2416.txt,7794,3684
dailymail_2418.txt,8083,3677
dailymail_242.txt,4017,1938
dailymail_2420.txt,8083,3677
dailymail_2422.txt,8288,3031
dailymail_2424.txt,5407,2656
dailymail_2426.txt,5102,2270
dailymail_2428.txt,12368,5003
dailymail_2430.txt,4914,2471
dailymail_2432.txt,15032,6578
dailymail_2434.txt,4840,2212
dailymail_2436.txt,6179,2877
dailymail_2438.txt,7938,3287
dailymail_244.txt,4471,2114
dailymail_2440.txt,8967,4037
dailymail_2442.txt,8875,3860
dailymail_2444.txt,5604,2410
dailymail_2446.txt,3504,1757
dailymail_2448.txt,2681,1280
dailymail_2450.txt,2681,1280
dailymail_2452.txt,3522,1543
dailymail_2454.txt,9834,4214
dailymail_2456.txt,9834,4214
dailymail_2458.txt,8837,3658
dailymail_246.txt,3854,2005
