filename,original_size,compressed_size,compression_ratio
dailymail_1632.txt,6157,2884,0.5315900600942017
dailymail_1634.txt,13874,5651,0.5926913651434338
dailymail_1636.txt,3609,1727,0.5214740925464117
dailymail_1638.txt,9102,4053,0.554713249835201
dailymail_164.txt,2444,1198,0.5098199672667758
dailymail_1640.txt,9102,4053,0.554713249835201
dailymail_1642.txt,3702,1875,0.493517017828201
dailymail_1644.txt,5647,2634,0.5335576412254295
dailymail_1646.txt,6897,3154,0.5426997245179064
dailymail_1648.txt,4899,2392,0.511737089201878
dailymail_1650.txt,4899,2392,0.511737089201878
dailymail_1652.txt,6403,2755,0.56973293768546
dailymail_1654.txt,5674,2686,0.526612618963694
dailymail_1656.txt,5674,2686,0.526612618963694
dailymail_1658.txt,2907,1499,0.48434812521499826
dailymail_166.txt,7458,2880,0.6138374899436847
dailymail_1660.txt,1885,952,0.4949602122015915
dailymail_1662.txt,1885,952,0.4949602122015915
dailymail_1664.txt,4264,1984,0.5347091932457786
dailymail_1666.txt,3312,1591,0.5196256038647342
dailymail_1668.txt,3312,1591,0.5196256038647342
dailymail_1670.txt,5464,2594,0.5252562225475842
dailymail_1672.txt,3004,1322,0.5599201065246338
dailymail_1674.txt,1704,846,0.5035211267605634
dailymail_1676.txt,1968,1121,0.43038617886178865
dailymail_1678.txt,6745,3272,0.5148999258710156
dailymail_168.txt,3012,1444,0.5205843293492696
dailymail_1680.txt,6745,3272,0.5148999258710156
dailymail_1682.txt,534,319,0.40262172284644193
dailymail_1684.txt,2205,1132,0.48662131519274376
dailymail_1686.txt,7323,3473,0.5257408166052164
dailymail_1688.txt,4306,2086,0.515559684161635
dailymail_1690.txt,4306,2086,0.515559684161635
dailymail_1692.txt,4675,2315,0.504812834224599
dailymail_1694.txt,6521,3050,0.5322803251035118
dailymail_1696.txt,933,542,0.4190782422293676
dailymail_1698.txt,2043,1127,0.4483602545276554
dailymail_170.txt,3962,1867,0.5287733467945481
dailymail_1700.txt,2398,1231,0.48665554628857377
dailymail_1702.txt,2398,1231,0.48665554628857377
dailymail_1704.txt,5982,2889,0.5170511534603812
